부서,페이지,정보
감사담당관,1,감사담당관 | 감사담당관 | 감사담당관 업무 총괄 | 02-2116-2520
안전도시과,4,안전도시과 / 스마트사업팀 | 주무관 | ○ DID운영 ○ 드론아카데미 운영 및 재난상황 시 드론 시스템 운영 ○ 스마트그늘막 | 02-2116-3426
교통행정과,1,교통행정과 | 교통행정과장 | 교통행정과 업무 총괄 | 02-2116-4060
교통행정과,1,교통행정과 / 교통행정팀 | 교통행정팀장 | 교통행정팀 업무 총괄 | 02-2116-4040
교통행정과,1,"교통행정과 / 교통행정팀 | 주무관 | 과 서무(구의회, 주요업무보고 등 회의자료) 및 인사, 예산 총괄 봉급·수당·초과근무·맞춤형복지 등 직원복리후생 사회복무요원·공공근로 관리 | 02-2116-4037"
교통행정과,1,"교통행정과 / 교통행정팀 | 주무관 | 버스, BIT | 02-2116-4036"
교통행정과,1,"교통행정과 / 교통행정팀 | 주무관 | 공영차고지 버스정류소 따숨쉼터, 온열의자, 스마트쉼터 설치 및 유지관리 광역교통시설부담금 자가용 자동차 유상운송허가 처리 및 사용신고처리 우대용 교통카드 발급 및 관리 | 02-2116-4062"
교통행정과,1,교통행정과 / 교통행정팀 | 주무관 | 기업체 교통수요관리 버스 정류소 승차대 설치 및 유지보수 버스 정류소 통계·현황 업무 차 없는 거리 총괄 지하철 교통편의시설 확대 설치 등 자동차대여[렌트카]사업 신규 및 변경등록 승용차 마일리지 업무 | 02-2116-4034
교통행정과,1,"교통행정과 / 교통행정팀 | 주무관 | 개별화물, 개인용달 등 화물운송 자가용 화물자동차 사용신고 처리 화물차고지 설치 확인, 자동차번호판 폐기 처리 화물자동차 유가보조금, 화물자동차 운송주선업[이삿짐센터]등록 | 02-2116-4041"
교통행정과,1,교통행정과 / 교통행정팀 | 주무관 | 버스 정류소 승차대 설치 및 유지·보수 차 없는 거리 총괄 자동차 대여(렌터카) 사업 신규 및 변경 등록 기업체 교통수요관리 지하철 교통편의시설 확대 설치 등 | 02-2116-4034
교통행정과,1,"교통행정과 / 교통행정팀 | 주무관 | 택배용 화물자동차 신규허가/재허가 화물자동차 주사무소 변경, 허가증 재발급 충무계획, 차량동원, 재난관련업무 | 02-2116-4035"
교통행정과,1,교통행정과 / 운수지도팀 | 운수지도팀장 | 운수지도팀 업무 총괄 | 02-2116-3459
교통행정과,2,교통행정과 / 운수지도팀 | 주무관 | • 교통민원신고 심의위원회 총괄 • 사업용차량 야간 밤샘주차 단속 • 택시승차대 관련 업무 | 02-2116-4043
교통행정과,2,교통행정과 / 운수지도팀 | 주무관 | 교통유발부담금 | 02-2116-4056
교통행정과,2,교통행정과 / 운수지도팀 | 주무관 | 법규위반 버스 | 02-2116-4045
교통행정과,2,"교통행정과 / 운수지도팀 | 주무관 | 자동차 이전, 변경 | 02-2116-4078"
교통행정과,2,교통행정과 / 운수지도팀 | 주무관 | 법규위반 택시 | 02-2116-4044
교통행정과,2,교통행정과 / 자동차등록팀 | 자동차등록팀장 | 자동차등록팀 업무 총괄 | 02-2116-3189
교통행정과,2,"교통행정과 / 자동차등록팀 | 주무관 | 주요업무계획수립 및 각종회의자료 작성 자동차 말소: 폐차, 수출, 차령초과 말소 등 과태료 부과·징수 및 체납관리 택시, 렌터카, 버스 등 사업용 자동차의 차령 연장 멸실인정서 발급, 자동차 일시 반ㆍ출입 신고 자동차 압류 설정 및 해제 | 02-2116-4079"
교통행정과,2,"교통행정과 / 자동차등록팀 | 주무관 | • 자동차 이전, 변경 등록 • 상속이전 등록 안내문 발송 및 공시송달 | 02-2116-4068"
교통행정과,2,"교통행정과 / 자동차등록팀 | 주무관 | 자동차 이전, 변경 | 02-2116-4068"
교통행정과,2,교통행정과 / 자동차등록팀 | 주무관 | • 이륜차 등록 • 자동차등록증 재발급 • 직인관리 | 02-2116-4075
교통행정과,3,교통행정과 / 자동차등록팀 | 주무관 | • 이륜차 등록 • 자동차등록원부 • 자동차 사실조회 | 02-2116-4076
교통행정과,3,교통행정과 / 자동차관리팀 | 자동차관리팀장 | 자동차관리팀 업무 총괄 | 02-2116-4052
교통행정과,3,"교통행정과 / 자동차관리팀 | 주무관 | • 자동차(이륜차포함) 검사지연 과태료 • 자동차(이륜차포함) 종합, 정기검사 | 02-2116-4050"
교통행정과,3,교통행정과 / 자동차관리팀 | 주무관 | 자동차관리사업 자동차 무상점검 무단 방치자동차 단속 | 02-2116-4051
교통행정과,3,교통행정과 / 자동차관리팀 | 주무관 | 불법 구조변경 원상복구 명령 등화장치 미점등 행정처분 어린이 통학버스 점검 | 02-2116-4054
교통행정과,3,교통행정과 / 자동차관리팀 | 주무관 | 자동차등록번호판 민원처리 및 행정처분 | 02-2116-4053
교통행정과,3,교통행정과 / 자동차관리팀 | 주무관 | 특별사법경찰 운행정지 | 02-2116-4049
교통지도과,1,교통지도과 | 교통지도과장 | 교통지도과 업무총괄 | 02-2116-4110
교통지도과,1,교통지도과 / 주차지도팀 | 주차지도팀장 | 주차지도팀 업무 총괄 | 02-2116-4089
교통지도과,1,교통지도과 / 주차지도팀 | 주무관 | 과 서무 | 02-2116-4088
교통지도과,1,교통지도과 / 주차지도팀 | 주무관 | 사전통지서 발송 등 | 02-2116-4084
교통지도과,1,"교통지도과 / 주차지도팀 | 주무관 | 상담민원, 주차민원처리 등 | 02-2116-4085"
교통지도과,1,"교통지도과 / 주차지도팀 | 주무관 | 의견진술접수, 의견진술심의회 운영 | 02-2116-4083"
교통지도과,1,"교통지도과 / 주차지도팀 | 주무관 | 상담민원, 주차민원처리 , 시선임급여 등 | 02-2116-4086"
교통지도과,1,"교통지도과 / 주차지도팀 | 주무관 | cctv불법주정차 단속, 스마트 불편신고 | 02-2116-4908"
교통지도과,1,교통지도과 / 주차세입팀 | 주차세입팀장 | 주차세입팀 업무 총괄 | 02-2116-4095
교통지도과,1,"교통지도과 / 주차세입팀 | 주무관 | 과태료부과, 특별회계세입, 부동산압류 및 해제 | 02-2116-4094"
교통지도과,2,"교통지도과 / 주차세입팀 | 주무관 | 차량압류등록, 말소차량관리 등 | 02-2116-4093"
교통지도과,2,교통지도과 / 교통시설팀 | 교통시설팀장 | 교통시설팀 업무총괄 | 02-2116-4109
교통지도과,2,교통지도과 / 교통시설팀 | 주무관 | 교통시설민원(교통안전시설물 계획 및 공사) 바닥신호등 관리 등 | 02-2116-4108
교통지도과,2,"교통지도과 / 교통시설팀 | 주무관 | 교통시설물(안전표지판)계획 및 공사 교통시설민원(안전표지판, 반사경) 무인교통단속장비 설치 및 관리, 옐로카펫 관련업무 | 02-2116-4104"
교통지도과,2,"교통지도과 / 교통시설팀 | 주무관 | 교통영향평가 협의 및 검토, 교통개선계획 | 02-2116-4105"
교통지도과,2,교통지도과 / 교통시설팀 | 주무관 | 어린이보호구역 내 미끄럼방지포장 계획 및 공사 보행신호 음성안내 보조장치 설치 안전펜스 | 02-2116-4106
교통지도과,2,교통지도과 / 교통시설팀 | 주무관 | ㅇ 보호구역 업무 총괄 ㅇ 교통시설민원(볼라드. 시선유도봉) ㅇ 교통안전지도사 관련업무 | 02-2116-4107
교통지도과,2,교통지도과 / 주차장관리팀 | 주차장관리팀장 | 주차장관리팀 업무 총괄 | 02-2116-4103
교통지도과,2,"교통지도과 / 주차장관리팀 | 주무관 | 거주자우선주차, 부설주차장관리 , 전기차충전시설 확충 | 02-2116-4102"
교통지도과,2,"교통지도과 / 주차장관리팀 | 주무관 | 공영주차장 조성 업무, 주차장수급실태조사 | 02-2116-4099"
교통지도과,3,"교통지도과 / 주차장관리팀 | 주무관 | 그린파킹 주차장조성사업 추진 총괄, 부설주차장관리(중계,하계) | 02-2116-4101"
교통지도과,3,"교통지도과 / 주차장관리팀 | 주무관 | ㅇ 공영, 민영 주차장 서비스공단 관련 ㅇ 부설주차장(공릉동) ㅇ 주차관련 통계 | 02-2116-4098"
교통지도과,3,"교통지도과 / 주차장관리팀 | 주무관 | 부설주차장 개방, 공유 활성화 사업추진 부설주차장 지도점검 및 관리(월계동) 기계식주차장 총괄 관리 | 02-2116-4100"
토목과,1,토목과 | 토목과장 | - 토목과 업무 총괄 | 02-2116-4160
토목과,1,토목과 / 토목팀 | 토목팀장 | 토목팀 업무총괄 | 02-2116-4145
토목과,1,토목과 / 토목팀 | 주무관 | - 서무 | 02-2116-4144
토목과,1,"토목과 / 토목팀 | 주무관 | 도로계획, 도로사업 미집행 도시계획 | 02-2116-4141"
토목과,1,"토목과 / 토목팀 | 주무관 | 미집행 도시계획 상계6,7동 담당(민원 협의 등) | 02-2116-4142"
토목과,1,토목과 / 토목팀 | 주무관 | 소송 및 매수청구 공사장 현황 및 대장관리 하자검사 및 각종 통계업무 상계1동 민원처리 | 02-2116-4129
토목과,1,토목과 / 도로관리팀 | 도로관리팀장 | 도로관리팀 업무 총괄 | 02-2116-4150
토목과,1,"토목과 / 도로관리팀 | 주무관 | 도로시설물, 보수공사 제설 업무 총괄 | 02-2116-4149"
토목과,1,"토목과 / 도로관리팀 | 주무관 | 포장도로 보수공사 상계5동 담당(민원, 협의 등) | 02-2116-4147"
토목과,1,"토목과 / 도로관리팀 | 주무관 | - 도로 및 도로시설물 순찰, 유지 관리 등 | 02-2116-4143"
토목과,2,"토목과 / 도로관리팀 | 주무관 | 영조물 보험, 도로시설물 시스템 관리 상계3.4동 담당(민원, 협의 등) | 02-2116-4146"
토목과,2,"토목과 / 도로관리팀 | 주무관 | 제설, 부서 현장사무실 관리 | 02-2116-4132"
토목과,2,"토목과 / 도로관리팀 | 주무관 | 도로기동반 관리 중계동 담당(민원, 영조물 등) | 02-2116-4130"
토목과,2,"토목과 / 도로관리팀 | 주무관 | 제설차량 운전, 도로 및 도로시설물 순찰 응답소 민원처리 | 02-2116-4137"
토목과,2,"토목과 / 도로관리팀 | 주무관 | · 도로, 시설물 등 순찰, 점검 | 02-2116-4133"
토목과,2,토목과 / 도로관리팀 | 공무직 | 응답소 민원처리 | 02-2116-4140
토목과,2,토목과 / 지하안전보도팀 | 지하안전보도팀장 | 지하안전보도팀 업무 총괄 | 02-2116-4163
토목과,2,"토목과 / 지하안전보도팀 | 주무관 | 지하안전, 보도관리 | 02-2116-4148"
토목과,2,"토목과 / 지하안전보도팀 | 주무관 | 지하시설물, 보도정비 월계동 담당(민원, 협의 등) | 02-2116-4153"
토목과,2,"토목과 / 지하안전보도팀 | 주무관 | 보도정비 지하안전관리(지하안전법) 관련업무 공릉1동, 상계8, 9동 담당 (민원, 건축협의, 영조물 등) | 02-2116-4208"
토목과,3,"토목과 / 지하안전보도팀 | 주무관 | 보도유지관리 관련 업무 거리모니터링단 운영 공릉2동, 상계10동 담당(민원, 건축협의, 영조물 등) | 02-2116-4162"
토목과,3,토목과 / 도로굴착팀 | 도로굴착팀장 | 도로굴착팀 업무총괄 | 02-2116-4156
토목과,3,토목과 / 도로굴착팀 | 주무관 | 굴착복구 정비공사 | 02-2116-4155
토목과,3,"토목과 / 도로굴착팀 | 주무관 | 도로굴착복구 허가 및 준공 상계2동, 하계동 담당(민원, 협의 등) | 02-2116-4154"
토목과,3,토목과 / 도로조명팀 | 도로조명팀장 | 도로조명팀 총괄 | 02-2116-4159
토목과,3,토목과 / 도로조명팀 | 주무관 | 가로등 유지관리 | 02-2116-4158
토목과,3,토목과 / 도로조명팀 | 주무관 | 지하보차도 기전시설 유지관리 보안등 유지관리 | 02-2116-4161
토목과,3,토목과 / 도로조명팀 | 주무관 | 보도육교 승강기 및 CCTV 유지관리 기전시설물 순찰 및 점검 | 02-2116-4157
치수과,1,치수과 | 치수과장 | 치수과 업무 총괄 | 02-2116-4190
치수과,1,치수과 | 주무관 | · 화랑대철도공원 운영 및 관리 | 02-2116-0666
치수과,1,치수과 / 물관리팀 | 물관리팀장 | - 물관리팀 업무 총괄 | 02-2116-4173
치수과,1,치수과 / 물관리팀 | 주무관 | - 과 서무 - 예산 | 02-2116-4172
치수과,1,치수과 / 물관리팀 | 주무관 | - 풍수해 대책 추진 총괄 - 하천시설물 유지관리 총괄 - 담당하천 : 중랑천 | 02-2116-4170
치수과,1,치수과 / 물관리팀 | 주무관 | - 침수방지시설 설치 지원 - 재해영향평가 관련 업무 - 시특법 시설물 관련 업무 - 담당하천 : 당현천 | 02-2116-4168
치수과,1,"치수과 / 물관리팀 | 주무관 | - 시특법 시설물 관련 업무(보조) - 수방자재관리, 풍수해보험, 하천순찰단 - 하천 살피미단 운영 - 하천유지용수(중랑천 용수 분담금) 업무 - 하자검사, 공사대장 관리 업무 - 담당하천 : 우이천 | 02-2116-4169"
치수과,1,"치수과 / 물관리팀 | 주무관 | NDMS, 동행파트너운영, 묵동천 관리 | 02-2116-4171"
치수과,1,치수과 / 하수팀 | 하수팀장 | 하수팀 업무 총괄 | 02-2116-4179
치수과,1,"치수과 / 하수팀 | 주무관 | -하수시설물 유지관리 등 예산업무 - 소구역 하수관로 정비 총괄(2공구) 및 감리 - 담당동 : 상계3,4동, 월계동 | 02-2116-4167"
치수과,2,"치수과 / 하수팀 | 주무관 | - 하수도 통계 - 배수설비 설치 및 하수악취·오접 관리 - 하수암거 유지관리 - 하수도 원인자부담금 - 공공하수도 설치인가 및 사용개시 공고 - 담당동 : 상계5,8,9,10동, 공릉 | 02-2116-4192"
치수과,2,"치수과 / 하수팀 | 주무관 | - 침사지 유지관리 - 하수맨홀 유지관리 - 유수장애물 시설물 관리 - 기동반(공무직, 기간제근로자) 급여 및 수당 - 담당동 : 상계2, 중계동 | 02-2116-4186"
치수과,2,치수과 / 하수팀 | 주무관 | - 응답소민원처리 | 02-2116-4166
치수과,2,치수과 / 수변관리팀 | 수변관리팀장 | - 수변관리팀 업무 총괄 | 02-2116-4201
치수과,2,치수과 / 수변관리팀 | 주무관 | - 생태하천(당현천) 복원사업 - 경춘철교 교량분수 전망대 조성 | 02-2116-4202
치수과,2,치수과 / 수변관리팀 | 주무관 | - 수변활력거점 조성 - 하천제설 | 02-2116-4203
치수과,2,치수과 / 하천설비팀 | 하천설비팀장 | - 하천설비팀 업무 총괄 | 02-2116-4184
치수과,2,"치수과 / 하천설비팀 | 주무관 | - 수방시설 전기설비 유지관리 총괄 (펌프장, 간이펌프장, 수문, 저류조) - 수방시설물 원격제어시스템 개량 및 유지관리 - 하천기전시설 유지관리 총괄(전기) - 하천 조명시설(보안등, 경관조명) 신설 및 개량사업 - 당현천 가압장 전기설비 유지관리 | 02-2116-4183"
치수과,2,"치수과 / 하천설비팀 | 주무관 | - 하천기전시설 유지보수 및 민원처리(조명, CCTV 등) - 수방시설물 전기설비 유지보수 - 하천 수위관측소, 강우량계 유지관리 - 재난(풍수해) 예․경보 시스템 및 문자전광판 유지관리 - 하천진입 원격차단시설 유지관리 - 자가용전기설비 안전진단 및 안전관리대행 용역 관리 - 하수관로 수위 모니터링시스템 유지관리 | 02-2116-4181"
치수과,2,"치수과 / 하천설비팀 | 주무관 | - 수방시설 기계설비 유지관리 (펌프장, 간이펌프장, 수문, 저류조) - 수방시설 기계설비 신설 및 개량 - 당현천 분수시설(음악, 바닥) 유지관리 및 운영 - 빗물펌프장 소방시설 유지관리 - 하천기전시설 유지관리 총괄(기계) - 경춘철교 교량분수 설치사업 | 02-2116-4180"
치수과,3,"치수과 / 하천설비팀 | 주무관 | - 공릉1 빗물펌프장 시설 운영(전기) - 당현천 가압장 시설운영(전기) - 간이펌프장, 수문점검 관리 | 02-2116-4198"
치수과,3,치수과 / 하천설비팀 | 주무관 | - 공릉2빗물펌프장 시설운영(전기) - 공릉2빗물펌프장 전기안전관리자 - 당현천가압장 시설운영(전기) - 간이펌프장.수문점검관리 | 02-2116-4196
치수과,3,치수과 / 하천설비팀 | 주무관 | - 공릉2빗물펌프장 시설운영(기계) - 당현천가압장 시설운영(기계) - 간이펌프장.수문점검관리 | 02-2116-4195
힐링도시국,1,힐링도시국 | 힐링도시국장 | 힐링도시국 업무 총괄 | 02-2116-3077
힐링도시국,1,푸른도시과 | 푸른도시과장 | 부서 업무 총괄 | 
힐링도시국,1,푸른도시과 / 공원기획팀 | 공원기획팀장 | 공원기획팀 업무총괄 | 02-2116-3948
힐링도시국,1,푸른도시과 / 공원기획팀 | 주무관 | 힐링도시국 국서무 | 02-2116-3947
힐링도시국,1,푸른도시과 / 공원기획팀 | 주무관 | 수락산 동막골 자연휴양림 조성사업 수락산 목조건축 실연 및 유아숲체험장 리모델링 사업 등 | 02-2116-3946
힐링도시국,1,푸른도시과 / 공원기획팀 | 주무관 | 시공원 보수정비사업 총괄 수락산 불암산 근린공원 조성 및 유지 관리 등 | 02-2116-3966
힐링도시국,1,푸른도시과 / 공원기획팀 | 주무관 | 과서무 | 02-2116-3945
힐링도시국,1,"푸른도시과 / 공원기획팀 | 주무관 | 초안산(비석골),영축산 근린공원 조성 및 유지관리 - 시, 구 재산관리(실태조사, 자산등록), 소모품 구매 등 초안산 무장애숲길 조성사업 초안산, 영축산 장기미집행 및 구역 보상 업무 초안산 영축산 위탁 및 점용(행위)허가 등 관리 초안산 근무 시간선택제임기제 복무 관리 및 인건비 지급 산림 내 자연발효식 화장실 정비 및 유지관리 | 02-2116-3943"
힐링도시국,1,"푸른도시과 / 공원기획팀 | 주무관 | 공원, 녹지, 산림분야 공원등 유지관리 - 공원, 녹지, 산림, 마을마당 등 공원녹지분야 공원등 신설 및 개량공사 공원녹지 CCTV 설치 및 유지관리 | 02-2116-3952"
힐링도시국,1,푸른도시과 / 공원기획팀 | 주무관 | 공무직 등 현장인력 수급 및 근무상황 관리 총괄 공원녹지분야 기간제근로자 채용 총괄 산업안전보건관리 총괄 | 02-2116-3957
힐링도시국,2,푸른도시과 / 공원기획팀 | 주무관 | 시공원 유지관리 보조 | 02-2116-0899
힐링도시국,2,푸른도시과 / 자연생태팀 | 자연생태팀장 | 자연생태팀 업무총괄 | 02-2116-3955
힐링도시국,2,푸른도시과 / 자연생태팀 | 주무관 | 산사태 예방 및 사방사업 목공소 운영 및 유지관리 안전취약시설 보수보강사업 | 02-2116-3931
힐링도시국,2,"푸른도시과 / 자연생태팀 | 주무관 | 산불예방사업 불암산 힐링타운 유지관리 (철쭉동산, 순환산책로, 주차장, 힐링가든 등) 야생동물 관리 산림 위험수목 정비사업 생활주변 위험수목 정비사업 | 02-2116-3953"
힐링도시국,2,푸른도시과 / 자연생태팀 | 주무관 | 산림병해충 예찰 및 방제사업 소나무재선충병 긴급 방제사업 생태경관보전지역 보존 및 관리 생활권 수목진료 민간컨설팅 목재생산업 | 02-2116-3954
힐링도시국,2,"푸른도시과 / 수락·불암산팀 | 수락불암산팀장 | 수락불암산팀 업무 전반에 관한 사항 제안, 검토 사업계획 수립 등 산림 분야 기획 | 02-2116-3973"
힐링도시국,2,"푸른도시과 / 수락·불암산팀 | 주무관 | 산림관리(수락산) - 소관구역 내 각종 행위허가 처리(협의) - 불법사항 단속 및 조치 도시자연공원구역 관리(수락산) - 소관구역 내 보상 및 인허가 업무 수락산 등산로 정비사업(유지관리) 수락산 무장애숲길 조성사업 수락산 내 임야 훼손지 도시계획시설(공원) 결정 용역 토착수종 식재 및 도시숲 복원사업, 탄소저감 조림사업 산지형 공원 야외 소규모 운동시설 관리(수락산) 초안산 전망대 조성사업 | 02-2116-3950"
힐링도시국,2,푸른도시과 / 수락·불암산팀 | 주무관 | 산림관리(불암산) -소관구역내 각종 행위허가(신고)처리 및 협의 도시자연공원구역관리(불암산) -소관구역내 보상 및 인허가 업무 불암산 등산로 정비사업 및 유지관리 숲가꾸기 사업 | 02-2116-3964
힐링도시국,2,"푸른도시과 / 수락·불암산팀 | 주무관 | 인건비 지급 및 공공근로, 지역일자리 총괄 산림 내 화장실(12개소) 시설개선 및 유지관리 둘레길 정비사업 및 유지관리 둘레길·등산로 살피미단 운영 수락산 자락길 및 무장애숲길 유지관리 수락산․불암산 치유의 숲길 유지관리 먹는물 공동시설 관리(심정청소 및 유지관리) | 02-2116-4942"
힐링도시국,2,푸른도시과 / 백만그루사업팀 | 백만그루사업팀장 | 백만그루사업팀 업무 총괄 | 02-2116-2712
힐링도시국,3,푸른도시과 / 백만그루사업팀 | 주무관 | ○ 백만그루 나무심기 | 02-2116-3971
힐링도시국,3,"푸른도시과 / 백만그루사업팀 | 주무관 | 개발제한구역 업무처리(상계3.4동) -행위허가(신고)처리 협의 전반업무 -행정소송, 심판 등 법적사무처리 | 02-2116-0563"
힐링도시국,3,"푸른도시과 / 백만그루사업팀 | 주무관 | ○ 개발제한구역 업무처리(상계1·5·9동,하계1동,중계동) - 행위허가(신고)처리 및 협의 전반 - 행정소송, 심판 등 법적 사무 처리 - 위법행위 단속 및 시정계고, 고발조치 등 ○ 개발제한구역 지도점검 및 민원처리 (상계1·5·9동,하계1동,중계동) ○ 주민지원사업 및 생활비용 보조사업 추진 | 02-2116-0561"
힐링도시국,3,"푸른도시과 / 백만그루사업팀 | 주무관 | 개발제한구역 업무처리(중계, 하계) - 행위허가(신고) 처리 및 협의 전반 - 행정소송, 심판 등 법적 사무 처리 - 위법행위 단속 및 시정계고, 고발처리 등 개발제한구역 점검 및 민원처리(중계, 하계) 순찰 차량 유지관리 등 | 02-2116-0564"
힐링도시국,3,정원도시과 | 정원도시과장 | 정원도시과 업무 총괄 | 02-2116-0880
힐링도시국,3,정원도시과 / 정원기획팀 | 정원기획팀장 | 정원기획팀 업무 총괄 | 02-2116-3980
힐링도시국,3,정원도시과 / 정원기획팀 | 주무관 | 과서무 구청장 요청사항 관리 및 타부서 협조업무 부서 물품 및 비품관리 | 02-2116-0882
힐링도시국,3,정원도시과 / 정원기획팀 | 주무관 | 구청장 지시사항 및 주요 단일사업 추진 공원조성계획 및 도시계획 업무 도시공원 재조성 및 신규 조성사업 (근린·문화·주제공원) 기부채납공원(재개발·재건축) 조성 및 인수 생활공원 재생사업 팀소관 회의자료 작성 및 총괄 | 02-2116-3969
힐링도시국,3,"정원도시과 / 정원기획팀 | 주무관 | ◦ 공원조성계획 및 도시계획 업무(어린이공원, 소공원) ◦ 재개발·재건축사업 등 기부채납공원 협의, 조성 및 인수 ◦ 화랑대철도공원 이탈리아관 조경 공사 ◦ 어린이공원 시설개선 ◦ 통합놀이터 조성(어린이공원) ◦ 하계공원 놀이복합문화공간 및 시설개선 | 02-2116-0884"
힐링도시국,3,정원도시과 / 정원기획팀 | 주무관 | 공원등 유지관리 공원등 신설 및 개량공사 공원녹지 CCTV 설치 및 유지관리 | 02-2116-3942
힐링도시국,4,정원도시과 / 생활공원팀 | 생활공원팀장 | 생활공원팀 업무 총괄 | 02-2116-0881
힐링도시국,4,"정원도시과 / 생활공원팀 | 주무관 | 근린․문화․체육공원(비석골 제외) 유지관리, 정비사업 (월계,공릉,상계) 물놀이장 운영 총괄 및 물놀이장 유지관리(월계) 노원불빛정원 경관개선 놀이활동가(놀이터지킴이) 운영 | 02-2116-3944"
힐링도시국,4,정원도시과 / 생활공원팀 | 주무관 | 공무직 인건비 지급 및 근무상황관리 정원도시과 기간제 채용 총괄 생활공원팀 기간제 근로자 관리 | 02-2116-0883
힐링도시국,4,"정원도시과 / 생활공원팀 | 주무관 | 어린이공원·소공원 유지관리, 정비사업, 점용허가(중계,월계,공릉) 물놀이장 운영, 공원 내 수경시설 유지관리(중계,월계,공릉) 총괄 정원기획팀 인력(기간제근로자, 공공근로 등) 복무 관리, 급여지급 공원 내 화장실(야간 관리 포함), 비상벨 현황 및 관리 | 02-2116-3975"
힐링도시국,4,"정원도시과 / 생활공원팀 | 주무관 | 근린공원(중계, 하계) 물놀이장 및 수경 시설 운영 및 유지관리(중계) | 02-2116-3968"
힐링도시국,4,"정원도시과 / 생활공원팀 | 주무관 | 어린이공원·소공원 유지관리(상계, 하계) 공원 내 물놀이장, 수경시설 운영 및 유지관리(상계) 모래놀이터 모래소독 공원보안관 운영 기간제근로자(모래소독) 복무관리 및 급여 등 | 02-2116-3932"
힐링도시국,4,정원도시과 / 생활공원팀 | 주무관 | 도시공원(상계권역) 현장관리 및 순찰(단속) | 02-2116-3951
힐링도시국,4,"정원도시과 / 생활공원팀 | 주무관 | 도시공원(중계,하계권역) 현장관리 및 순찰 | 02-2116-4934"
힐링도시국,4,정원도시과 / 생활공원팀 | 주무관 | 도시공원(월계․공릉권역) 현장관리 및 순찰·단속 | 02-2116-3974
힐링도시국,4,정원도시과 / 조경팀 | 조경팀장 | 조경팀 업무 총괄 | 02-2116-3962
힐링도시국,5,"정원도시과 / 조경팀 | 주무관 | 가로수・띠녹지 조성 및 유지관리(가지치기, 위험수목 정비 등) 노원역 고가하부 그린아트길 조성 가로수 생육환경개선 및 녹지량 확충사업 재건축 공동주택 관련 기부채납 협의(가로수, 띠녹지) 도시계획시설 지정・해제 관련 재개발사업․건축허가 조경협의(단지조경, 시설녹지) | 02-2116-3958"
힐링도시국,5,정원도시과 / 조경팀 | 주무관 | ○ 시설녹지 조성 및 관리 ○ 맨발길 조성 및 관리 ○ 도시구조물 벽면녹화사업 조성 관리 ○ 녹색커튼 조성・관리사업 ○ 푸른도시 서울상 공모사업 | 02-2116-3941
힐링도시국,5,"정원도시과 / 조경팀 | 주무관 | 꽃과 정원의 도시, 노원 추진 (특화화단, 걸이화분, 가로화분 등) 우리동네 동행매력정원 추진 가로정원 및 걷고싶은 길 조성관리 가로변 공유정원 조성 시민주도 도시녹화 주민제안사업 초록모아 키즈가든 조성, 도시소생태계 조성 공공시설 실내정원 조성 푸른도시 서울상 공모사업 | 02-2116-3961"
힐링도시국,5,"정원도시과 / 조경팀 | 주무관 | 조경팀, 하천팀 인건비 지급 및 4대보험 등 업무처리 조경팀 행정차량 관리 나무돌보미 | 02-2116-3960"
힐링도시국,5,정원도시과 / 조경팀 | 주무관 | 마을마당 및 지정보호수 관리 수목식재 사후관리 | 02-2116-0652
힐링도시국,5,정원도시과 / 조경팀 | 주무관 | 조경팀 가로녹지대 현장 관리 | 02-2116-3978
힐링도시국,5,정원도시과 / 조경팀 | 주무관 | 가로녹지대 조경팀 현장관리 및 순찰 | 02-2116-4937
힐링도시국,5,정원도시과 / 하천조경팀 | 하천조경팀장 | 하천조경팀 업무총괄 | 
힐링도시국,5,"정원도시과 / 하천조경팀 | 주무관 | 하천 생태계교란식물 제거사업 추진 하천 위험수목 정비사업 추진 하천 녹지 대장 관리 하천녹지 점용관련 협의(당현천, 묵동천, 우이천) | 02-2116-0653"
힐링도시국,5,정원도시과 / 하천조경팀 | 주무관 | 하천녹지 유지관리(중랑천) 하천녹지 점용관련 협의(중랑천) 중랑천 생태복원 및 녹화사업 중랑천 파크골프장 및 황톳길 유지관리 | 02-2116-0651
힐링도시국,6,"정원도시과 / 하천조경팀 | 주무관 | 하천 녹지경관 개선 및 지역 명소화 현장 관리 (중랑천, 당현천, 우이천, 묵동천) 하천구역(저수호안, 제방, 둔치) 내 수목·초화류 및 자생 녹지공간 현장 관리 및 민원 처리 공무직, 기간제 등 현장근로자 현장복무 관리 하천조경팀 현장 물품 및 장비 관리 | "
힐링도시국,6,여가도시과 | 여가도시과장 | 여가도시과 업무 총괄 | 02-2116-0542
힐링도시국,6,여가도시과 | 주무관 | · 노원기차마을2관(이탈리아관) 조성 사업 추진 · 화랑대철도공원 운영 및 관리 | 02-2116-0668
힐링도시국,6,여가도시과 | 주무관 | 동 서무 | 02-2116-2833
힐링도시국,6,"여가도시과 | 주무관 | - 청소, 수방 및 제설 - 재난안전 총괄 | 02-2116-2776"
힐링도시국,6,여가도시과 | 주무관 | o 발급여권 및 여권발급신청서 관리 o 발급여권 대조확인 o 여권교부 및 여권대조 판독 o 6개월경과 미 수령 여권 관리 o 여권심사 지원 | 02-2116-3287
힐링도시국,6,여가도시과 / 여가시설운영팀 | 여가시설운영팀장 | 여가시설운영팀 업무 총괄 | 02-2116-0543
