No,대분류(국/과),팀명,직위/이름,담당업무,전화번호,기타
1974,도시경관과,도시경관과 / 가로개선팀,주무관,가로환경정비,02-2116-4028
1975,도시경관과,도시경관과 / 가로개선팀,주무관,가로환경정비,02-2116-4028
1976,도시경관과,도시경관과 / 가로개선팀,주무관,가로환경정비,
1977,도시경관과,도시경관과 / 공공디자인팀,공공디자인팀장,공공디자인팀 업무 총괄,02-2116-0671
1978,도시경관과,도시경관과 / 공공디자인팀,주무관,"○ 공공디자인 진흥사업 추진, 주민제안 사업 추진 - 공공디자인 진흥계획, 유니버설디자인 기본계획 등 수립 - 월계지하차도 보행로 환경개선, 대진고 옆 벽화재정비 사업 ○ 공공디자인 가이드라인 및 표준디자인 개발 - 공사장 가림벽 디자인 가이드라인 수립 및 운영 - 노원구 공공시설물 표준디자인 개발 ○ 공공시설물 등의 공공디자인 컨설팅 및 기타 - 부서별 추진사업의 디자인 검토, 협의 및 모니터링 - 홈페이지 관리: 디자인 관련 자료",02-2116-3834
1979,도시경관과,도시경관과 / 공공디자인팀,주무관,"○ 공공디자인 진흥계획, 조례, 위원회 관리 - 공공 유니버설 디자인 진흥계획 수립 - 공공 유니버설 디자인, 공공조형물 등의 조례 및 위원회 관리 ○ 공공디자인 진흥사업 추진 - 도시미관 관련 공공시설물(105종) 통합관리 - 공공 조형물, 진흥사업 시설물 상태점검 및 유지관리 ○ 예산, 회계, 복무 등 - 공공디자인진흥사업 행사, 예산, 회계, 급여, 복무, 비품관리",02-2116-0673
1980,도시경관과,도시경관과 / 공공디자인팀,주무관,"○ 공공디자인 진흥사업 추진 - 노원 빛의 거리 조성사업 추진(수락산 디자인거리, 경춘선 공릉숲길) ○ 공공디자인 가이드라인 및 표준디자인 개발 - 노원구 공공시설물 표준디자인 개발 ○ 공공시설물 등의 공공디자인 컨설팅 - 디자인 검토, 협의 및 모니터링 - 항공촬영",02-2116-0672
1981,도시경관과,도시경관과 / 경관개선팀,경관개선팀장,경관개선팀 업무 총괄,02-2116-3874
1982,도시경관과,도시경관과 / 경관개선팀,주무관,○ 노원역 문화의 거리 일부 간판개선사업 ○ 공릉동 일대 간판개선사업 유지 ○ 구정홍보판 유지·관리 ○ 광고물 기간연장 및 관리(통계) ○ 광고물 허가·신고·안전점검 및 민원처리(상계1동~상계5동) ○ 전단지 및 가로등 현수기 신고처리,02-2116-3871
1983,도시경관과,도시경관과 / 경관개선팀,주무관,- 공공용·상업용현수막게시대 관리 운영 - 친환경현수막 전용게시대 관리 운영 - 도로점용료 및 세외수입 업무 - 옥외광고사업자 등록 및 관리 - 교통수단 및 교통시설 이용광고물,02-2116-3872
1984,도시경관과,도시경관과 / 경관개선팀,주무관,○ 25년 문화의거리 일부 간판개선사업 ○ 빛공해 관련 업무 ○ 광고물 허가·신고·안전점검 및 민원처리,02-2116-3873
1985,도시경관과,도시경관과 / 광고물개선팀,광고물개선팀장,광고물개선팀 업무 총괄,02-2116-2522
1986,도시경관과,도시경관과 / 광고물개선팀,주무관,"• 옥외광고발전기금 및 조례 관리 • 옥외광고발전기금운용심의위원회 운영 관리 • 불법 유동광고물 부착방지시트 설치 사업 추진 • 불법광고물(에어라이트, 입간판 등) 수거광고물 처리 • 불법광고물 정비 총괄계획 수립 • 주말 기간제근로자 임금 등 관리업무",02-2116-4029
1987,도시경관과,도시경관과 / 광고물개선팀,주무관,"○ 관내순찰 및 불법 유동광고물 정비1조장(상계6,7동, 중계동) ○ 불법유동광고물 정비 및 고정광고물 민원처리 ○ 공공근로, 주말 기간제근로자 관리 및 현장 업무 총괄",02-2116-3877
1988,도시경관과,도시경관과 / 광고물개선팀,주무관,"○ 불법 유공광고물 정비 업무 총괄 및 행정처분, 세외수입 ○ 주말 및 야간 단속 근무조 운영 관리 ○ 불법광고물 일일 정비내역 통계관리 ○ 불법광고물 수거물 창고 등 관리 ○ 문화노원 가로개선 밴드 업무 총괄",02-2116-3870
1989,도시경관과,도시경관과 / 광고물개선팀,주무관,"○ 관내순찰 및 불법 유동광고물 정비3조장(공릉동, 월계동, 하계동) ○ 불법유동광고물 정비 및 고정광고물 민원처리",02-2116-3856
1990,도시경관과,도시경관과 / 광고물개선팀,주무관,• 불법 고정광고물 정비업무 총괄 및 행정처분 - 위험·무주간판 등 고정광고물 조사 및 처리 등(철거용역) - (건물부착 현수막 포함) 고정광고물 민원 처리 및 행정처분 • 불법 고정광고물 세외수입 업무(부과 및 체납관리 등) • 불법 유동광고물 수거보상제 업무 • 불법광고물 일일 정비내역 통계관리 • 공공근로 임금 등 관리 업무,02-2116-3876
1991,도시경관과,도시경관과 / 광고물개선팀,주무관,○ 관내순찰 및 불법 유동광고물 정비2조장(상계동) ○ 불법유동광고물 정비 및 고정광고물 민원처리,02-2116-3854
1992,도시경관과,도시경관과 / 광고물개선팀,주무관,○ 순찰차량 운전 및 관리 ○ 불법광고물 단속 지원,02-2116-3857
1993,도시경관과,도시경관과 / 광고물개선팀,주무관,○ 순찰차량 운전 및 관리 ○ 불법광고물 단속 지원,02-2116-3858
1994,도시경관과,도시경관과 / 광고물개선팀,주무관,○ 관내순찰 및 불법 유동광고물 정비 ○ 불법유동광고물 정비 및 고정광고물 민원처리,02-2116-3855
1995,탄소중립국,탄소중립국,국장,탄소중립추진단 업무 총괄,02-2116-3220
1996,탄소중립국,탄소중립도시과,주무관,녹색환경과 지원근무,02-2116-3207
1997,탄소중립국,탄소중립도시과 / 탄소중립정책팀,탄소중립정책팀장,탄소중립정책팀 업무 총괄,02-2116-3203
1998,탄소중립국,탄소중립도시과 / 탄소중립정책팀,주무관,"○ 국/과서무, 예산, 회계, 인사",02-2116-3097
1999,탄소중립국,탄소중립도시과 / 탄소중립정책팀,주무관,기후적응계획수립 기후대응기금,02-2116-3223
2000,탄소중립국,탄소중립도시과 / 탄소중립정책팀,주무관,○ 탄소중립 정책 홍보 및 교육 ○ 탄소중립 민관협력 사업 ○ 탄소중립 대외협력,02-2116-3200
2001,탄소중립국,탄소중립도시과 / 녹색건축지원센터,녹색건축지원센터장,녹색건축지원센터 총괄,02-2116-3174
2002,탄소중립국,탄소중립도시과 / 녹색건축지원센터,주무관,노후주택 에너지효율화사업 G.R. 사업 ZEB인증 사전검토,02-2116-3175
2003,탄소중립국,탄소중립도시과 / 녹색건축지원센터,주무관,· 공공건축물 에너지관리시스템 설치 및 운영 · 건물 에너지 효율화 사업 지원 · 공공건축물 탄소배출량 평가 및 절감,02-2116-3176
2004,탄소중립국,탄소중립도시과 / 자전거도시팀,자전거도시팀장,자전거문화팀 업무 총괄,02-2116-0627
2005,탄소중립국,탄소중립도시과 / 자전거도시팀,주무관," 자전거 문화센터 건립  자전거 친화도시 종합계획 수립  자전거 친화도시 선포식(탄소중립지원센터 협력)  신규 개발업무 추진  예산 및 주요 업무계획 수립  공공 자전거(따릉이) 시책사업  자전거 교실 개설 및 운영(초급, 중급)  어린이 교통공원 운영 지원",02-2116-0632
2006,탄소중립국,탄소중립도시과 / 자전거도시팀,주무관,"자전거도로, 자전거 이용시설물 유지관리 자전거 공기주입기 유지관리 자전거시설물 영조물 손해배상공제 킥보드(PM) 주차존 설치(보행질서 준수 안내 및 홍보) 자전거 이용시설물 안내지도 제작 및 홍보",02-2116-0631
2007,탄소중립국,탄소중립도시과 / 자전거도시팀,주무관,○ 불법유동광고물 과태료 부과,02-2116-0630
2008,탄소중립국,탄소중립도시과 / 자전거도시팀,주무관,"자전거대여소, 자전거이용시설물 등",02-2116-0629
2009,탄소중립국,탄소중립도시과 / 에너지관리팀,에너지관리팀장,에너지관리팀 업무 총괄,02-2116-3205
2010,탄소중립국,탄소중립도시과 / 에너지관리팀,주무관,○ 태양광 미니발전소 민간부분 보급사업 추진 ○ 온실가스⦁에너지목표관리제 업무 ○ 노원형 발전차액 지원제도 운영 ○ 건물에너지 효율화 사업 업무 ○ 건물분야 탄소중립 추진계획 수립 ○ 공공건축물 ZEB 자문회의 ○ 대지외 신재생에너지 실증사업 ○ 그린리모델링 연구용역,02-2116-3217
2011,탄소중립국,탄소중립도시과 / 에너지관리팀,주무관,"도시가스,고압가스,lpg,전문건설업,에너지바우처",02-2116-3221
2012,탄소중립국,탄소중립도시과 / 에너지관리팀,주무관,○ 송전선로 지중화 관련 업무 ○ 신재생에너지 보급 사업 ○ 공공태양광 시설 유지 보수 관리 ○ 에너지절약 및 에너지 사용 제한 업무 ○ 전기 안전관리 및 전기용품 관리 업무 ○ 전기공사업 및 전기사업 관리 업무 ○ 대규모 정전 등 안전관리 ○ 신재생에너지 융복합지원사업 ○ 건물온실가스 총량제 및 등급제 관리 ○ 창동차량기지 RE100 단지 조성 관련 업무,02-2116-3204
2013,탄소중립국,녹색환경과,녹색환경과장,녹색환경과 업무 총괄,02-2116-3222
2014,탄소중립국,녹색환경과,주무관,"○ 노인의날 행사(정) ○ 경로당 운영 및 운영비 등 지원 - 냉난방비, 양곡비 지원 ○ 경로당 설치 신고 ○ 경로당 편의물품 지원",02-2116-3757
2015,탄소중립국,녹색환경과 / 녹색환경지원팀,녹색환경지원팀장,녹색환경지원팀 업무 총괄,02-2116-3219
2016,탄소중립국,녹색환경과 / 녹색교통팀,녹색교통팀장,녹색교통팀 업무 총괄,02-2116-2851
2017,탄소중립국,녹색환경과 / 환경관리팀,환경관리팀장,• 환경관리팀 업무 총괄,02-2116-3212
2018,탄소중립국,녹색환경과 / 환경관리팀,주무관,"• 폐수배출시설 관리 총괄 • 배출시설 통합 지도·점검 및 폐수분야 기술지원 • 하천 수질검사, 수질오염사고 대응, 제독장비 관리",02-2116-3210
2019,탄소중립국,녹색환경과 / 환경관리팀,주무관,"• 대기배출시설 관리 총괄 • 환경범죄 관리 총괄 • 배출시설 통합 지도·점검 및 대기분야 기술지원 • 환경전문공사업, 측정대행업, 저수조 청소업 • 소규모 사업장 방지(저감)시설·IOT 지원사업 추진",02-2116-3214
2020,탄소중립국,녹색환경과 / 환경관리팀,주무관,• 환경개선부담금 관리 총괄 • 저소득층 친환경보일러 설치 지원사업 추진 • 유해화학물질 사고·재난 관련 대응 매뉴얼 관리,02-2116-3213
2021,탄소중립국,녹색환경과 / 환경관리팀,주무관,• 특정토양오염시설·휘발성유기화합물질 배출시설 관리 총괄 • 기타수질오염원·잔류성오염물질(관리대상기기) 관리 • 환경기술인(수질·대기) 교육 지원 • 환경개선부담금 압류해제 지원,02-2116-3211
2022,탄소중립국,녹색환경과 / 생활환경팀,생활환경팀장,• 생활환경팀 업무 총괄,02-2116-3225
2023,탄소중립국,자원순환과,주무관,- 재활용 수거 관련 민원업무 등,02-2116-3827
2024,탄소중립국,자원순환과,주무관,개인하수처리시설 관리,02-2116-3823
2025,탄소중립국,자원순환과 / 도시청결팀,자원순환과장,자원순환과 업무 총괄,02-2116-3809
2026,탄소중립국,자원순환과 / 도시청결팀,도시청결팀장,도시청결팀 업무 총괄,02-2116-4267
2027,탄소중립국,자원순환과 / 도시청결팀,주무관,생활폐기물,02-2116-3808
2028,탄소중립국,자원순환과 / 도시청결팀,주무관,"서무, 공무관 총괄",02-2116-3801
2029,탄소중립국,자원순환과 / 도시청결팀,주무관,무단투기 총괄,02-2116-3803
2030,탄소중립국,자원순환과 / 도시청결팀,주무관,종량제 봉투 제작관리 등,02-2116-3800
2031,탄소중립국,자원순환과 / 도시청결팀,주무관,사업장폐기물,02-2116-3806
2032,탄소중립국,자원순환과 / 도시청결팀,주무관,"대형생활폐기물, 소형폐가전",02-2116-3807
2033,탄소중립국,자원순환과 / 도시청결팀,주무관,응답소,02-2116-3821
2034,탄소중립국,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2035,탄소중립국,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2036,탄소중립국,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2037,탄소중립국,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2038,탄소중립국,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2039,탄소중립국,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2040,탄소중립국,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2041,탄소중립국,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2042,탄소중립국,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2043,탄소중립국,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2044,탄소중립국,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2045,탄소중립국,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2046,탄소중립국,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2047,탄소중립국,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2048,탄소중립국,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2049,탄소중립국,자원순환과 / 도시청결팀,주무관,무단투기 단속,02-2116-3802
2050,탄소중립국,자원순환과 / 도시청결팀,주무관,무단투기 단속,02-2116-3802
2051,탄소중립국,자원순환과 / 도시청결팀,주무관,무단투기 단속,02-2116-3802
2052,탄소중립국,자원순환과 / 도시청결팀,주무관,무단투기 단속,02-2116-3802
2053,탄소중립국,자원순환과 / 도시청결팀,주무관,무단투기단속,02-2116-3802
2054,탄소중립국,자원순환과 / 도시청결팀,주무관,무단투기 단속,02-2116-3802
2055,탄소중립국,자원순환과 / 도시청결팀,주무관,무단투기 단속,02-2116-3802
2056,탄소중립국,자원순환과 / 도시청결팀,주무관,무단투기 단속,02-2116-3802
2057,탄소중립국,자원순환과 / 자원재활용팀,주무관,"의류수거함, 폐비닐",02-2116-3810
2058,탄소중립국,자원순환과 / 자원재활용팀,주무관,"1회용품, 커피박, 재활용기금",02-2116-3805
2059,탄소중립국,자원순환과 / 자원재활용팀,자원재활용팀장,자원재활용팀 업무 총괄,
2060,탄소중립국,자원순환과 / 음식물자원화팀,음식물자원화팀장,음식물자원화팀 업무 총괄,02-2116-4080
2061,탄소중립국,자원순환과 / 음식물자원화팀,주무관,ㆍRFID 종량기 및 감량기 관리  ㆍ음식물류폐기물 다량배출사업장,02-2116-3813
2062,탄소중립국,자원순환과 / 음식물자원화팀,주무관,"음식물류폐기물 처리업체 관리, 음식물류폐기물 납부필증 관리 등",02-2116-3811
2063,탄소중립국,자원순환과 / 시설장비팀,시설장비팀장,시설장비팀 업무 총괄,02-2116-3819
2064,탄소중립국,자원순환과 / 시설장비팀,주무관,공중화장실 및 민간개방화장실 등 관리,02-2116-3815
2065,탄소중립국,자원순환과 / 시설장비팀,주무관,청소차량차고지 및 차량 관리,02-2116-3817
2066,탄소중립국,자원순환과 / 시설장비팀,주무관,차량 정비 업무 및 정비고 현장관리,02-2116-4993
2067,탄소중립국,자원순환과 / 시설장비팀,주무관,차량정비.시설물관리,02-2116-4997
2068,탄소중립도시과,탄소중립도시과,주무관,녹색환경과 지원근무,02-2116-3207
2069,탄소중립도시과,탄소중립도시과 / 탄소중립정책팀,탄소중립정책팀장,탄소중립정책팀 업무 총괄,02-2116-3203
2070,탄소중립도시과,탄소중립도시과 / 탄소중립정책팀,주무관,"○ 국/과서무, 예산, 회계, 인사",02-2116-3097
2071,탄소중립도시과,탄소중립도시과 / 탄소중립정책팀,주무관,기후적응계획수립 기후대응기금,02-2116-3223
2072,탄소중립도시과,탄소중립도시과 / 탄소중립정책팀,주무관,○ 탄소중립 정책 홍보 및 교육 ○ 탄소중립 민관협력 사업 ○ 탄소중립 대외협력,02-2116-3200
2073,탄소중립도시과,탄소중립도시과 / 녹색건축지원센터,녹색건축지원센터장,녹색건축지원센터 총괄,02-2116-3174
2074,탄소중립도시과,탄소중립도시과 / 녹색건축지원센터,주무관,노후주택 에너지효율화사업 G.R. 사업 ZEB인증 사전검토,02-2116-3175
2075,탄소중립도시과,탄소중립도시과 / 녹색건축지원센터,주무관,· 공공건축물 에너지관리시스템 설치 및 운영 · 건물 에너지 효율화 사업 지원 · 공공건축물 탄소배출량 평가 및 절감,02-2116-3176
2076,탄소중립도시과,탄소중립도시과 / 자전거도시팀,자전거도시팀장,자전거문화팀 업무 총괄,02-2116-0627
2077,탄소중립도시과,탄소중립도시과 / 자전거도시팀,주무관," 자전거 문화센터 건립  자전거 친화도시 종합계획 수립  자전거 친화도시 선포식(탄소중립지원센터 협력)  신규 개발업무 추진  예산 및 주요 업무계획 수립  공공 자전거(따릉이) 시책사업  자전거 교실 개설 및 운영(초급, 중급)  어린이 교통공원 운영 지원",02-2116-0632
2078,탄소중립도시과,탄소중립도시과 / 자전거도시팀,주무관,"자전거도로, 자전거 이용시설물 유지관리 자전거 공기주입기 유지관리 자전거시설물 영조물 손해배상공제 킥보드(PM) 주차존 설치(보행질서 준수 안내 및 홍보) 자전거 이용시설물 안내지도 제작 및 홍보",02-2116-0631
2079,탄소중립도시과,탄소중립도시과 / 자전거도시팀,주무관,○ 불법유동광고물 과태료 부과,02-2116-0630
2080,탄소중립도시과,탄소중립도시과 / 자전거도시팀,주무관,"자전거대여소, 자전거이용시설물 등",02-2116-0629
2081,탄소중립도시과,탄소중립도시과 / 에너지관리팀,에너지관리팀장,에너지관리팀 업무 총괄,02-2116-3205
2082,탄소중립도시과,탄소중립도시과 / 에너지관리팀,주무관,○ 태양광 미니발전소 민간부분 보급사업 추진 ○ 온실가스⦁에너지목표관리제 업무 ○ 노원형 발전차액 지원제도 운영 ○ 건물에너지 효율화 사업 업무 ○ 건물분야 탄소중립 추진계획 수립 ○ 공공건축물 ZEB 자문회의 ○ 대지외 신재생에너지 실증사업 ○ 그린리모델링 연구용역,02-2116-3217
2083,탄소중립도시과,탄소중립도시과 / 에너지관리팀,주무관,"도시가스,고압가스,lpg,전문건설업,에너지바우처",02-2116-3221
2084,탄소중립도시과,탄소중립도시과 / 에너지관리팀,주무관,○ 송전선로 지중화 관련 업무 ○ 신재생에너지 보급 사업 ○ 공공태양광 시설 유지 보수 관리 ○ 에너지절약 및 에너지 사용 제한 업무 ○ 전기 안전관리 및 전기용품 관리 업무 ○ 전기공사업 및 전기사업 관리 업무 ○ 대규모 정전 등 안전관리 ○ 신재생에너지 융복합지원사업 ○ 건물온실가스 총량제 및 등급제 관리 ○ 창동차량기지 RE100 단지 조성 관련 업무,02-2116-3204
2085,녹색환경과,녹색환경과,녹색환경과장,녹색환경과 업무 총괄,02-2116-3222
2086,녹색환경과,녹색환경과,주무관,"○ 노인의날 행사(정) ○ 경로당 운영 및 운영비 등 지원 - 냉난방비, 양곡비 지원 ○ 경로당 설치 신고 ○ 경로당 편의물품 지원",02-2116-3757
2087,녹색환경과,녹색환경과 / 녹색환경지원팀,녹색환경지원팀장,녹색환경지원팀 업무 총괄,02-2116-3219
2088,녹색환경과,녹색환경과 / 녹색교통팀,녹색교통팀장,녹색교통팀 업무 총괄,02-2116-2851
2089,녹색환경과,녹색환경과 / 환경관리팀,환경관리팀장,• 환경관리팀 업무 총괄,02-2116-3212
2090,녹색환경과,녹색환경과 / 환경관리팀,주무관,"• 폐수배출시설 관리 총괄 • 배출시설 통합 지도·점검 및 폐수분야 기술지원 • 하천 수질검사, 수질오염사고 대응, 제독장비 관리",02-2116-3210
2091,녹색환경과,녹색환경과 / 환경관리팀,주무관,"• 대기배출시설 관리 총괄 • 환경범죄 관리 총괄 • 배출시설 통합 지도·점검 및 대기분야 기술지원 • 환경전문공사업, 측정대행업, 저수조 청소업 • 소규모 사업장 방지(저감)시설·IOT 지원사업 추진",02-2116-3214
2092,녹색환경과,녹색환경과 / 환경관리팀,주무관,• 환경개선부담금 관리 총괄 • 저소득층 친환경보일러 설치 지원사업 추진 • 유해화학물질 사고·재난 관련 대응 매뉴얼 관리,02-2116-3213
2093,녹색환경과,녹색환경과 / 환경관리팀,주무관,• 특정토양오염시설·휘발성유기화합물질 배출시설 관리 총괄 • 기타수질오염원·잔류성오염물질(관리대상기기) 관리 • 환경기술인(수질·대기) 교육 지원 • 환경개선부담금 압류해제 지원,02-2116-3211
2094,녹색환경과,녹색환경과 / 생활환경팀,생활환경팀장,• 생활환경팀 업무 총괄,02-2116-3225
2095,자원순환과,자원순환과,주무관,- 재활용 수거 관련 민원업무 등,02-2116-3827
2096,자원순환과,자원순환과,주무관,개인하수처리시설 관리,02-2116-3823
2097,자원순환과,자원순환과 / 도시청결팀,자원순환과장,자원순환과 업무 총괄,02-2116-3809
2098,자원순환과,자원순환과 / 도시청결팀,도시청결팀장,도시청결팀 업무 총괄,02-2116-4267
2099,자원순환과,자원순환과 / 도시청결팀,주무관,생활폐기물,02-2116-3808
2100,자원순환과,자원순환과 / 도시청결팀,주무관,"서무, 공무관 총괄",02-2116-3801
2101,자원순환과,자원순환과 / 도시청결팀,주무관,무단투기 총괄,02-2116-3803
2102,자원순환과,자원순환과 / 도시청결팀,주무관,종량제 봉투 제작관리 등,02-2116-3800
2103,자원순환과,자원순환과 / 도시청결팀,주무관,사업장폐기물,02-2116-3806
2104,자원순환과,자원순환과 / 도시청결팀,주무관,"대형생활폐기물, 소형폐가전",02-2116-3807
2105,자원순환과,자원순환과 / 도시청결팀,주무관,응답소,02-2116-3821
2106,자원순환과,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2107,자원순환과,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2108,자원순환과,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2109,자원순환과,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2110,자원순환과,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2111,자원순환과,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2112,자원순환과,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2113,자원순환과,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2114,자원순환과,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2115,자원순환과,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2116,자원순환과,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2117,자원순환과,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2118,자원순환과,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2119,자원순환과,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2120,자원순환과,자원순환과 / 도시청결팀,주무관,청소현장근무,02-2116-4991
2121,자원순환과,자원순환과 / 도시청결팀,주무관,무단투기 단속,02-2116-3802
2122,자원순환과,자원순환과 / 도시청결팀,주무관,무단투기 단속,02-2116-3802
2123,자원순환과,자원순환과 / 도시청결팀,주무관,무단투기 단속,02-2116-3802
2124,자원순환과,자원순환과 / 도시청결팀,주무관,무단투기 단속,02-2116-3802
2125,자원순환과,자원순환과 / 도시청결팀,주무관,무단투기단속,02-2116-3802
2126,자원순환과,자원순환과 / 도시청결팀,주무관,무단투기 단속,02-2116-3802
2127,자원순환과,자원순환과 / 도시청결팀,주무관,무단투기 단속,02-2116-3802
2128,자원순환과,자원순환과 / 도시청결팀,주무관,무단투기 단속,02-2116-3802
2129,자원순환과,자원순환과 / 자원재활용팀,주무관,"의류수거함, 폐비닐",02-2116-3810
2130,자원순환과,자원순환과 / 자원재활용팀,주무관,"1회용품, 커피박, 재활용기금",02-2116-3805
2131,자원순환과,자원순환과 / 자원재활용팀,자원재활용팀장,자원재활용팀 업무 총괄,
2132,자원순환과,자원순환과 / 음식물자원화팀,음식물자원화팀장,음식물자원화팀 업무 총괄,02-2116-4080
2133,자원순환과,자원순환과 / 음식물자원화팀,주무관,ㆍRFID 종량기 및 감량기 관리  ㆍ음식물류폐기물 다량배출사업장,02-2116-3813
2134,자원순환과,자원순환과 / 음식물자원화팀,주무관,"음식물류폐기물 처리업체 관리, 음식물류폐기물 납부필증 관리 등",02-2116-3811
2135,자원순환과,자원순환과 / 시설장비팀,시설장비팀장,시설장비팀 업무 총괄,02-2116-3819
2136,자원순환과,자원순환과 / 시설장비팀,주무관,공중화장실 및 민간개방화장실 등 관리,02-2116-3815
2137,자원순환과,자원순환과 / 시설장비팀,주무관,청소차량차고지 및 차량 관리,02-2116-3817
2138,자원순환과,자원순환과 / 시설장비팀,주무관,차량 정비 업무 및 정비고 현장관리,02-2116-4993
2139,자원순환과,자원순환과 / 시설장비팀,주무관,차량정비.시설물관리,02-2116-4997
2140,보건소,보건소,보건소장,보건소 업무 총괄,02-2116-3023
2141,보건소,보건위생과,보건위생과장,보건위생과 업무 총괄,02-2116-4330
2142,보건소,보건위생과 / 보건정책팀,보건정책팀장,보건정책팀 업무 총괄,02-2116-4313
2143,보건소,보건위생과 / 보건정책팀,주무관,"국서무 구의회,인사,예산 등 협업추진 업무 일상경비 집행,정산, 예결산 업무 일반임기제공무원(기관장/의사) 채용 및 관리",02-2116-4311
2144,보건소,보건위생과 / 보건정책팀,주무관,보건소 봉급·수당 관리 지역보건의료계획 업무 일반지출업무,02-2116-4310
2145,보건소,보건위생과 / 보건정책팀,주무관,과서무 보건소(지소포함) 의료폐기물 관리 지역보건의료계획(PHIS) 시스템관리,02-2116-4309
2146,보건소,보건위생과 / 보건정책팀,주무관,○ 보건소 청사관리 ○ 충무계획 수립 및 보안업무 관리 ○ 서울형 보건지소 건립 업무 ○ 보건소 중대재해 관리 지원,02-2116-4306
2147,보건소,보건위생과 / 보건정책팀,주무관,보건소 차량관리(정기검사 및 점검 등) 보건소 의료지원 관리,02-2116-4303
2148,보건소,보건위생과 / 보건정책팀,주무관,보건관리자,02-2116-4321
2149,보건소,보건위생과 / 보건정책팀,주무관,안전관리자,02-2116-4389
2150,보건소,감사담당관 / 청렴감사팀,주무관,"❍ 자체감사업무(민간위탁, 보조금) 추진 및 사후관리 (주민복지국, 안전교통건설국, 힐링도시국, 탄소중립국) ❍ 공직기강에 관한 사항 ❍ 출장여비 및 초과근무수당 점검 ❍ 부패 취약분야 모니터링(해피콜) ❍ 주민 감사청구에 관한 사항 ❍ 타 직원에 속하지 않은 감사업무",02-2116-3067
2151,보건소,감사담당관 / 청렴감사팀,주무관,"❍ 반부패 청렴시책 추진 (종합계획, 청렴교육, 청렴문화 확산 및 인식개선 등) ❍ 공공기관 청렴도 평가 업무 (권익위 평가) ❍ 이해충돌방지법, 청탁금지법 제반 업무 ❍ 행동강령 업무(점검, 외부강의 신고 등) ❍ 공공재정환수법 제반 업무",02-2116-3072
2152,보건소,감사담당관 / 청렴감사팀,주무관,"❍ 자체감사업무(민간위탁, 보조금) 추진 및 사후관리 총괄 ❍ 적극행정에 관한 사항 ❍ 부패영향평가 ❍ 주민 감사청구에 관한 사항",02-2116-3068
2153,보건소,감사담당관 / 조사팀,조사팀장,조사팀 업무 총괄,02-2116-3062
2154,보건소,감사담당관 / 조사팀,주무관,"- 지시사항 조사처리 및 기획조사 - 제설, 한파, 수방 등 재난업무 - 구민감사관 운영 - 주요시설 및 주요행사 운영실태 점검 - 인권 업무 총괄",02-2116-3060
2155,보건소,감사담당관 / 조사팀,주무관,❍ 지시사항 조사처리 및 기획조사 ❍ 인권침해 관련 조사 ❍ 외부기관(검경) 통보사항 처리 ❍ 주요시설 및 주요행사 운영실태 점검 ❍ 부실시공·공익제보 신고센터 운영 ❍ 언론보도 및 동향보고 사항 처리,02-2116-3049
2156,보건소,감사담당관 / 조사팀,주무관,❍ 재산등록 관련 업무 ❍ 취업제한 퇴직공직자 관리 ❍ 공직자윤리위원회 운영 ❍ 비위사실 조회 관련 업무,02-2116-3052
2157,보건소,감사담당관 / 구민소통팀,구민소통팀장,구민소통팀 업무 총괄,02-2116-0684
